Uniprot_protein,Ensembl_gene,Ensembl_transcript,Ensembl_protein,Gene,Chr,Protein_length
P27487,ENSG00000197635.10,ENST00000360534.8,ENSP00000353731.3,DPP4,2,766
Q14117,ENSG00000147647.13,ENST00000351513.7,ENSP00000276651.2,DPYS,8,519
Q6V1X1,ENSG00000074603.19,ENST00000559233.5,ENSP00000453954.1,DPP8,15,898
A6NNA5,ENSG00000165606.8,ENST00000374139.6,ENSP00000363254.1,DRGX,10,263
P26641,ENSG00000254772.10,ENST00000329251.5,ENSP00000331901.4,EEF1G,11,437
Q9BY08,ENSG00000123179.14,ENST00000242827.11,ENSP00000242827.6,EBPL,13,206
Q6P2E9,ENSG00000038358.15,ENST00000358933.10,ENSP00000351811.5,EDC4,16,1401
Q03111,ENSG00000130382.9,ENST00000252674.9,ENSP00000252674.6,MLLT1,19,559
Q9NPA0,ENSG00000134153.10,ENST00000256545.9,ENSP00000256545.4,EMC7,15,242
A6NEW6,ENSG00000285720.1,ENST00000650426.1,ENSP00000497508.1,AC084121.8,8,464
Q5TYM5,ENSG00000196550.10,ENST00000367128.7,ENSP00000356096.3,FAM72A,1,149
Q6ZV65,ENSG00000189157.14,ENST00000424749.7,ENSP00000409423.2,FAM47E,4,393
Q6P995,ENSG00000144369.13,ENST00000304698.10,ENSP00000304108.5,FAM171B,2,826
Q8N0U4,ENSG00000222011.9,ENST00000413034.3,ENSP00000395340.2,FAM185A,7,392
P57679,ENSG00000072840.13,ENST00000264956.11,ENSP00000264956.6,EVC,4,992
O60320,ENSG00000104059.4,ENST00000261275.4,ENSP00000261275.4,FAM189A1,15,539
Q8IXQ9,ENSG00000139160.13,ENST00000357721.3,ENSP00000350353.3,ETFBKMT,12,262
Q9P2D6,ENSG00000082269.16,ENST00000370479.7,ENSP00000359510.4,FAM135A,6,1515
O43731,ENSG00000100196.11,ENST00000216014.9,ENSP00000216014.4,KDELR3,22,214
Q9Y2H6,ENSG00000102531.16,ENST00000541916.5,ENSP00000441831.1,FNDC3A,13,1198
O43155,ENSG00000185070.11,ENST00000554746.1,ENSP00000451050.1,FLRT2,14,660
Q99958,ENSG00000176692.8,ENST00000649859.1,ENSP00000497759.1,FOXC2,16,501
P57775,ENSG00000107829.15,ENST00000664783.1,ENSP00000499522.1,FBXW4,10,412
Q6PIV2,ENSG00000281277.4,ENST00000626640.4,ENSP00000487495.3,FOXR1,CHR_HG2217_PATCH,292
Q53RD9,ENSG00000144152.13,ENST00000331203.7,ENSP00000331411.2,FBLN7,2,439
Q86XK2,ENSG00000138081.20,ENST00000403359.7,ENSP00000384823.3,FBXO11,2,927
Q6X9E4,ENSG00000164049.14,ENST00000296438.9,ENSP00000296438.5,FBXW12,3,464
Q8TF61,ENSG00000163013.11,ENST00000295133.9,ENSP00000295133.6,FBXO41,2,875
Q9NRD1,ENSG00000116663.11,ENST00000376753.9,ENSP00000365944.4,FBXO6,1,293
Q12805,ENSG00000115380.20,ENST00000355426.8,ENSP00000347596.3,EFEMP1,2,493
P02679,ENSG00000171557.17,ENST00000336098.8,ENSP00000336829.3,FGG,4,453
Q15485,ENSG00000160339.16,ENST00000291744.11,ENSP00000291744.6,FCN2,9,313
Q9UKC9,ENSG00000153558.16,ENST00000484457.6,ENSP00000417601.1,FBXL2,3,423
P23769,ENSG00000179348.12,ENST00000487848.5,ENSP00000417074.1,GATA2,3,480
O14976,ENSG00000178950.17,ENST00000314167.9,ENSP00000314499.4,GAK,4,1311
Q3SYB3,ENSG00000273514.1,ENST00000622588.1,ENSP00000484875.1,FOXD4L6,9,417
P32239,ENSG00000110148.10,ENST00000334619.7,ENSP00000335544.2,CCKBR,11,447
Q96CP2,ENSG00000162076.13,ENST00000293981.10,ENSP00000293981.6,FLYWCH2,16,140
Q6ZNA5,ENSG00000156869.13,ENST00000646001.1,ENSP00000496583.1,FRRS1,1,592
Q9BT04,ENSG00000010361.14,ENST00000313777.9,ENSP00000313309.4,FUZ,19,418
Q8IWF2,ENSG00000100350.14,ENST00000397223.4,ENSP00000380400.4,FOXRED2,22,684
Q8NEA6,ENSG00000107249.23,ENST00000324333.14,ENSP00000325494.10,GLIS3,9,775
O14908,ENSG00000123159.16,ENST00000586027.5,ENSP00000466747.1,GIPC1,19,333
P81274,ENSG00000121957.14,ENST00000264126.9,ENSP00000264126.3,GPSM2,1,684
O95749,ENSG00000152904.11,ENST00000358966.6,ENSP00000351852.2,GGPS1,1,300
P13224,ENSG00000203618.6,ENST00000366425.4,ENSP00000383382.2,GP1BB,22,206
P12081,ENSG00000170445.15,ENST00000504156.7,ENSP00000425634.1,HARS1,5,509
P0C5Z0,ENSG00000277745.1,ENST00000615853.1,ENSP00000482564.1,H2AB3,X,115
Q9UKV0,ENSG00000048052.21,ENST00000432645.6,ENSP00000410337.2,HDAC9,7,1011
Q9H1H1,ENSG00000124196.6,ENST00000373003.2,ENSP00000362094.1,GTSF1L,20,148
P20671,ENSG00000196866.2,ENST00000341023.1,ENSP00000341094.1,H2AC7,6,130
Q9UBP9,ENSG00000144366.16,ENST00000409609.5,ENSP00000386867.1,GULP1,2,304
O15217,ENSG00000170899.11,ENST00000370959.1,ENSP00000359998.1,GSTA4,6,222
P22557,ENSG00000158578.21,ENST00000650242.1,ENSP00000497236.1,ALAS2,X,587
P31260,ENSG00000253293.5,ENST00000283921.5,ENSP00000283921.4,HOXA10,7,410
Q6NT76,ENSG00000147421.18,ENST00000397358.7,ENSP00000380516.3,HMBOX1,8,420
Q27J81,ENSG00000203485.13,ENST00000392634.9,ENSP00000376410.4,INF2,14,1249
P19622,ENSG00000164778.4,ENST00000297375.4,ENSP00000297375.4,EN2,7,333
P13232,ENSG00000104432.14,ENST00000263851.9,ENSP00000263851.4,IL7,8,177
Q14005,ENSG00000172349.17,ENST00000302987.8,ENSP00000302935.4,IL16,15,1332
Q8IZI9,ENSG00000197110.9,ENST00000413851.3,ENSP00000409000.2,IFNL3,19,196
P09912,ENSG00000126709.15,ENST00000361157.11,ENSP00000354736.6,IFI6,1,130
Q9Y5Q6,ENSG00000172410.4,ENST00000304526.2,ENSP00000302724.2,INSL5,1,135
Q14773,ENSG00000105371.10,ENST00000380770.5,ENSP00000370147.2,ICAM4,19,271
P09529,ENSG00000163083.6,ENST00000295228.4,ENSP00000295228.3,INHBB,2,407
Q92985,ENSG00000185507.21,ENST00000525445.6,ENSP00000434009.2,IRF7,11,503
Q9NTI7,ENSG00000197852.12,ENST00000357260.6,ENSP00000349805.5,INKA2,1,297
Q6NXS1,ENSG00000231989.5,ENST00000522232.3,ENSP00000490297.1,PPP1R2B,5,205
O94829,ENSG00000117408.11,ENST00000372343.8,ENSP00000361418.3,IPO13,1,963
Q5TCS8,ENSG00000155085.15,ENST00000424296.6,ENSP00000410186.2,AK9,6,1911
Q9H1K1,ENSG00000136003.15,ENST00000311893.13,ENSP00000310623.9,ISCU,12,167
P28290,ENSG00000138434.17,ENST00000431877.7,ENSP00000388731.2,ITPRID2,2,1259
Q9BYS1,ENSG00000261862.2,ENST00000572212.1,ENSP00000461651.1,KRTAP1-5,CHR_HSCHR17_4_CTG4,174
P11801,ENSG00000159792.10,ENST00000291041.6,ENSP00000291041.4,PSKH1,16,424
Q14533,ENSG00000205426.10,ENST00000327741.9,ENSP00000369349.4,KRT81,12,505
Q86UP2,ENSG00000126777.18,ENST00000459737.5,ENSP00000432149.1,KTN1,14,1357
P29375,ENSG00000073614.13,ENST00000399788.7,ENSP00000382688.2,KDM5A,12,1690
P29033,ENSG00000165474.8,ENST00000382848.5,ENSP00000372299.4,GJB2,13,226
P17302,ENSG00000152661.9,ENST00000647564.1,ENSP00000497565.1,GJA1,6,382
Q6ZRH7,ENSG00000099338.23,ENST00000409235.8,ENSP00000386962.3,CATSPERG,19,1159
P20711,ENSG00000132437.18,ENST00000444124.7,ENSP00000403644.2,DDC,7,480
Q8N687,ENSG00000178591.7,ENST00000382410.3,ENSP00000371847.2,DEFB125,20,156
Q6ZUT9,ENSG00000170456.16,ENST00000389082.10,ENSP00000373734.5,DENND5B,12,1274
Q96JK2,ENSG00000139990.18,ENST00000341516.10,ENSP00000341351.5,DCAF5,14,942
Q8IZD4,ENSG00000284850.2,ENST00000647122.2,ENSP00000494635.1,DCP1B,CHR_HG1815_PATCH,617
O60879,ENSG00000147202.18,ENST00000324765.13,ENSP00000321348.8,DIAPH2,X,1101
Q9UI46,ENSG00000122735.16,ENST00000242317.9,ENSP00000242317.4,DNAI1,9,699
Q9UQ16,ENSG00000197959.14,ENST00000355305.9,ENSP00000347457.5,DNM3,1,869
P13639,ENSG00000167658.16,ENST00000309311.7,ENSP00000307940.5,EEF2,19,858
P33316,ENSG00000128951.14,ENST00000331200.8,ENSP00000370376.2,DUT,15,252
Q9Y4J8,ENSG00000134769.21,ENST00000444659.5,ENSP00000405819.1,DTNA,18,743
Q9P2K8,ENSG00000128829.12,ENST00000263791.10,ENSP00000263791.5,EIF2AK4,15,1649
Q9H2P9,ENSG00000117543.21,ENST00000488176.1,ENSP00000418282.1,DPH5,1,285
O00519,ENSG00000117480.16,ENST00000243167.9,ENSP00000243167.8,FAAH,1,579
P34910,ENSG00000185862.7,ENST00000577894.1,ENSP00000462682.1,EVI2B,17,448
A0A1B0GTK5,ENSG00000225396.5,ENST00000419795.5,ENSP00000489739.1,FAM236D,X,79
O00409,ENSG00000053254.15,ENST00000261302.9,ENSP00000261302.5,FOXN3,14,490
O43524,ENSG00000118689.15,ENST00000406360.2,ENSP00000385824.1,FOXO3,6,673
Q8TB52,ENSG00000118496.5,ENST00000237281.5,ENSP00000237281.3,FBXO30,6,745
Q96AY3,ENSG00000141756.19,ENST00000321562.9,ENSP00000317232.4,FKBP10,17,582
P31994,ENSG00000072694.21,ENST00000358671.9,ENSP00000351497.5,FCGR2B,1,310
O00602,ENSG00000085265.11,ENST00000371806.4,ENSP00000360871.3,FCN1,9,326
Q96PJ5,ENSG00000163518.11,ENST00000271532.2,ENSP00000271532.1,FCRL4,1,515
P22466,ENSG00000069482.7,ENST00000265643.4,ENSP00000265643.3,GAL,11,123
O75293,ENSG00000099860.9,ENST00000215631.9,ENSP00000215631.3,GADD45B,19,160
Q9P2B2,ENSG00000134247.10,ENST00000393203.3,ENSP00000376899.2,PTGFRN,1,879
P50440,ENSG00000171766.16,ENST00000396659.8,ENSP00000379895.3,GATM,15,423
Q9UP38,ENSG00000157240.4,ENST00000287934.4,ENSP00000287934.2,FZD1,7,647
Q6VB84,ENSG00000187559.6,ENST00000342833.4,ENSP00000341961.2,FOXD4L3,9,417
Q96NE9,ENSG00000139926.15,ENST00000344768.9,ENSP00000343899.5,FRMD6,14,622
Q9NQT6,ENSG00000106328.10,ENST00000265825.6,ENSP00000265825.5,FSCN3,7,498
O60883,ENSG00000170075.9,ENST00000367282.6,ENSP00000356251.4,GPR37L1,1,481
Q04446,ENSG00000114480.13,ENST00000429644.7,ENSP00000410833.2,GBE1,3,702
O60383,ENSG00000164404.8,ENST00000378673.2,ENSP00000367942.2,GDF9,5,454
P30793,ENSG00000131979.19,ENST00000395514.5,ENSP00000378890.1,GCH1,14,250
Q8N2G8,ENSG00000167925.16,ENST00000587427.6,ENSP00000467585.1,GHDC,17,530
Q96I76,ENSG00000198746.13,ENST00000361720.10,ENSP00000354645.5,GPATCH3,1,525
Q8WTR4,ENSG00000158555.15,ENST00000336898.8,ENSP00000337972.3,GDPD5,11,605
Q86UU5,ENSG00000179168.15,ENST00000334928.11,ENSP00000334940.5,GGN,19,652
Q9BZJ7,ENSG00000180929.6,ENST00000322241.6,ENSP00000319250.4,GPR62,3,368
P34896,ENSG00000284320.3,ENST00000644141.2,ENSP00000495756.2,SHMT1,CHR_HSCHR17_3_CTG1,483
Q3T906,ENSG00000111670.16,ENST00000299314.12,ENSP00000299314.7,GNPTAB,12,1256
P01275,ENSG00000115263.15,ENST00000375497.3,ENSP00000364647.3,GCG,2,180
P01148,ENSG00000147437.10,ENST00000276414.4,ENSP00000276414.4,GNRH1,8,92
A0PJZ3,ENSG00000172986.13,ENST00000389617.9,ENSP00000374268.4,GXYLT2,3,443
Q5T4B2,ENSG00000167123.19,ENST00000372838.9,ENSP00000361929.4,CERCAM,9,595
Q4G148,ENSG00000151233.11,ENST00000398675.8,ENSP00000381666.3,GXYLT1,12,440
P28161,ENSG00000213366.13,ENST00000241337.9,ENSP00000241337.4,GSTM2,1,218
Q71UI9,ENSG00000105968.18,ENST00000308153.8,ENSP00000308405.4,H2AZ2,7,128
P0C1H6,ENSG00000101812.12,ENST00000355016.7,ENSP00000347119.3,H2BW2,X,154
P54840,ENSG00000111713.3,ENST00000261195.3,ENSP00000261195.2,GYS2,12,703
O15379,ENSG00000171720.10,ENST00000305264.8,ENSP00000302967.3,HDAC3,5,428
P25092,ENSG00000070019.5,ENST00000261170.5,ENSP00000261170.3,GUCY2C,12,1073
P30511,ENSG00000204642.14,ENST00000334668.8,ENSP00000334263.4,HLA-F,6,346
Q9BX68,ENSG00000137133.11,ENST00000259667.6,ENSP00000259667.5,HINT2,9,163
Q02575,ENSG00000171786.6,ENST00000302101.6,ENSP00000302189.5,NHLH1,1,133
Q9BUJ2,ENSG00000105323.17,ENST00000392006.8,ENSP00000375863.2,HNRNPUL1,19,856
Q92902,ENSG00000107521.19,ENST00000613394.4,ENSP00000477926.1,HPS1,10,700
O60573,ENSG00000135930.14,ENST00000258416.8,ENSP00000258416.3,EIF4E2,2,245
Q16270,ENSG00000163453.11,ENST00000295666.6,ENSP00000295666.4,IGFBP7,4,282
P46199,ENSG00000085760.15,ENST00000394600.7,ENSP00000378099.3,MTIF2,2,727
O00219,ENSG00000103044.11,ENST00000306560.1,ENSP00000304440.1,HAS3,16,553
Q6ZMJ4,ENSG00000157368.10,ENST00000429149.6,ENSP00000397863.2,IL34,16,242
Q6NXR0,ENSG00000124449.7,ENST00000244314.6,ENSP00000244314.5,IRGC,19,463
Q9NZH7,ENSG00000136696.11,ENST00000259213.9,ENSP00000259213.4,IL36B,2,164
Q9P2D0,ENSG00000283068.2,ENST00000635454.2,ENSP00000489389.1,IBTK,CHR_HG2072_PATCH,1353
Q9H5V7,ENSG00000095574.11,ENST00000617859.4,ENSP00000478056.1,IKZF5,10,419
Q0D2I5,ENSG00000010295.19,ENST00000396840.6,ENSP00000380052.2,IFFO1,12,559
P01570,ENSG00000228083.3,ENST00000380222.4,ENSP00000369571.2,IFNA14,9,189
Q5VY09,ENSG00000162783.11,ENST00000367577.7,ENSP00000356549.4,IER5,1,327
P46695,ENSG00000137331.12,ENST00000259874.6,ENSP00000259874.5,IER3,6,156
Q13478,ENSG00000115604.10,ENST00000233957.5,ENSP00000233957.1,IL18R1,2,541
P01584,ENSG00000125538.12,ENST00000263341.7,ENSP00000263341.2,IL1B,2,269
P14778,ENSG00000115594.12,ENST00000410023.6,ENSP00000386380.1,IL1R1,2,569
Q96RY7,ENSG00000187535.14,ENST00000426508.7,ENSP00000406012.2,IFT140,16,1462
Q8TDY8,ENSG00000103742.12,ENST00000352385.3,ENSP00000319623.3,IGDCC4,15,1250
P47813,ENSG00000173674.11,ENST00000379607.10,ENSP00000368927.5,EIF1AX,X,144
Q1W4C9,ENSG00000214510.10,ENST00000398450.5,ENSP00000381468.4,SPINK13,5,94
Q8IYV9,ENSG00000182264.9,ENST00000332955.7,ENSP00000327786.2,IZUMO1,19,350
Q9Y219,ENSG00000184916.9,ENST00000331782.8,ENSP00000328169.3,JAG2,14,1238
Q6H9L7,ENSG00000100593.18,ENST00000342219.9,ENSP00000341490.4,ISM2,14,571
P14316,ENSG00000168310.11,ENST00000393593.8,ENSP00000377218.3,IRF2,4,349
P49895,ENSG00000211452.10,ENST00000361921.7,ENSP00000354643.3,DIO1,1,249
Q6UXK2,ENSG00000167178.16,ENST00000435464.5,ENSP00000411443.1,ISLR2,15,745
P48668,ENSG00000170465.10,ENST00000252250.7,ENSP00000252250.6,KRT6C,12,564
Q5XKE5,ENSG00000185640.6,ENST00000330553.6,ENSP00000328358.5,KRT79,12,535
Q63ZY3,ENSG00000197256.10,ENST00000586659.5,ENSP00000465650.1,KANK2,19,851
Q9BR39,ENSG00000149596.6,ENST00000372980.3,ENSP00000362071.3,JPH2,20,696
Q9Y573,ENSG00000197429.11,ENST00000396478.4,ENSP00000379739.3,IPP,1,584
Q9Y496,ENSG00000131437.15,ENST00000378746.8,ENSP00000368020.3,KIF3A,5,699
O15066,ENSG00000101350.8,ENST00000375712.4,ENSP00000364864.3,KIF3B,20,747
O75690,ENSG00000241233.4,ENST00000398534.4,ENSP00000420723.1,KRTAP5-8,11,187
O43861,ENSG00000166377.20,ENST00000426216.6,ENSP00000398076.2,ATP9B,18,1147
Q9NX74,ENSG00000167264.18,ENST00000358896.10,ENSP00000351769.6,DUS2,16,493
Q92611,ENSG00000134109.11,ENST00000256497.9,ENSP00000256497.4,EDEM1,3,657
Q86Y01,ENSG00000135144.7,ENST00000257600.3,ENSP00000257600.3,DTX1,12,620
Q5NDL2,ENSG00000163378.14,ENST00000540764.5,ENSP00000443780.2,EOGT,3,527
P40939,ENSG00000084754.12,ENST00000380649.8,ENSP00000370023.3,HADHA,2,763
Q96F86,ENSG00000179151.13,ENST00000568176.5,ENSP00000455580.1,EDC3,15,508
Q14156,ENSG00000132294.15,ENST00000254624.10,ENSP00000254624.5,EFR3A,8,821
Q7Z589,ENSG00000158636.16,ENST00000334736.7,ENSP00000334130.3,EMSY,11,1322
P48664,ENSG00000105143.12,ENST00000221742.7,ENSP00000221742.3,SLC1A6,19,564
Q8N6I1,ENSG00000176396.11,ENST00000390658.4,ENSP00000375073.2,EID2,19,236
Q15054,ENSG00000077514.9,ENST00000263681.7,ENSP00000263681.2,POLD3,11,466
Q9BY44,ENSG00000144895.12,ENST00000460851.6,ENSP00000417229.1,EIF2A,3,585
Q5RHP9,ENSG00000178965.14,ENST00000326665.10,ENSP00000322609.5,ERICH3,1,1530
Q13822,ENSG00000136960.12,ENST00000075322.10,ENSP00000075322.6,ENPP2,8,863
P0C5J1,ENSG00000145002.12,ENST00000262365.8,ENSP00000262365.4,FAM86B2,8,330
Q9Y256,ENSG00000173653.8,ENST00000309657.8,ENSP00000309163.3,RCE1,11,329
Q16134,ENSG00000171503.12,ENST00000511912.6,ENSP00000426638.1,ETFDH,4,617
Q9HB96,ENSG00000112039.5,ENST00000229769.3,ENSP00000229769.2,FANCE,6,536
A0A1B0GVD1,ENSG00000283267.1,ENST00000637645.1,ENSP00000490466.1,FAM237B,7,139
A0A1B0GVR7,ENSG00000216921.8,ENST00000404031.5,ENSP00000490626.1,FAM240C,2,95
P15311,ENSG00000092820.18,ENST00000367075.4,ENSP00000356042.3,EZR,6,586
Q6P4F2,ENSG00000267673.6,ENST00000393708.3,ENSP00000377311.4,FDX2,19,186
Q8NFU4,ENSG00000181617.6,ENST00000317987.6,ENSP00000318437.5,FDCSP,4,85
O95750,ENSG00000162344.4,ENST00000294312.4,ENSP00000294312.3,FGF19,11,216
Q8TC99,ENSG00000073598.6,ENST00000158009.6,ENSP00000158009.4,FNDC8,17,324
Q9UK73,ENSG00000169018.6,ENST00000306917.5,ENSP00000307298.4,FEM1B,15,627
Q06787,ENSG00000102081.14,ENST00000370475.8,ENSP00000359506.4,FMR1,X,632
Q15024,ENSG00000075914.13,ENST00000265564.8,ENSP00000265564.7,EXOSC7,3,291
Q9UJU5,ENSG00000187140.6,ENST00000371116.4,ENSP00000360157.2,FOXD3,1,478
P10767,ENSG00000111241.2,ENST00000228837.2,ENSP00000228837.2,FGF6,12,208
Q8TAT2,ENSG00000174721.10,ENST00000311575.6,ENSP00000339067.3,FGFBP3,10,258
A8MYZ6,ENSG00000204060.7,ENST00000641094.1,ENSP00000493184.1,FOXO6,1,492
Q6PJQ5,ENSG00000189299.7,ENST00000339140.5,ENSP00000427329.2,FOXR2,X,311
P12319,ENSG00000179639.10,ENST00000368115.5,ENSP00000357097.1,FCER1A,1,257
Q0VG06,ENSG00000185504.17,ENST00000327787.13,ENSP00000333283.8,FAAP100,17,881
O95967,ENSG00000172638.13,ENST00000307998.11,ENSP00000309953.6,EFEMP2,11,443
Q9UKA1,ENSG00000118564.15,ENST00000341285.8,ENSP00000344866.3,FBXL5,4,691
O14526,ENSG00000130475.14,ENST00000252771.11,ENSP00000252771.7,FCHO1,19,889
Q8TAE8,ENSG00000179271.3,ENST00000316939.3,ENSP00000323065.1,GADD45GIP1,19,222
Q9ULV1,ENSG00000174804.4,ENST00000531380.2,ENSP00000434034.1,FZD4,11,537
Q9BWH2,ENSG00000165775.18,ENST00000369498.8,ENSP00000358510.3,FUNDC2,X,189
Q9H0Q3,ENSG00000137726.17,ENST00000539526.5,ENSP00000442756.1,FXYD6,11,95
Q8NCI6,ENSG00000166105.16,ENST00000431683.7,ENSP00000396615.2,GLB1L3,11,653
Q02153,ENSG00000061918.13,ENST00000264424.12,ENSP00000264424.8,GUCY1B1,4,619
Q02108,ENSG00000164116.16,ENST00000513574.1,ENSP00000426040.1,GUCY1A1,4,690
Q96MZ0,ENSG00000124194.16,ENST00000342560.9,ENSP00000341782.5,GDAP1L1,20,367
Q96MS3,ENSG00000151948.12,ENST00000442111.6,ENSP00000394692.2,GLT1D1,12,346
Q8IWJ2,ENSG00000135968.21,ENST00000309863.11,ENSP00000307939.5,GCC2,2,1684
Q9NWQ4,ENSG00000089916.18,ENST00000261530.12,ENSP00000261530.7,GPATCH2L,14,482
Q8N1C3,ENSG00000163285.8,ENST00000295452.5,ENSP00000295452.4,GABRG1,4,465
Q9P2W3,ENSG00000127588.5,ENST00000248150.5,ENSP00000248150.4,GNG13,16,67
P49685,ENSG00000154165.5,ENST00000284311.5,ENSP00000284311.3,GPR15,3,360
Q14344,ENSG00000120063.10,ENST00000439174.7,ENSP00000400717.2,GNA13,17,377
Q9BZJ6,ENSG00000112218.9,ENST00000229955.4,ENSP00000229955.2,GPR63,6,419
Q8TDV0,ENSG00000173250.2,ENST00000311104.2,ENSP00000308733.2,GPR151,5,419
Q9Y3E0,ENSG00000111711.10,ENST00000229314.10,ENSP00000229314.4,GOLT1B,12,138
P43250,ENSG00000198055.11,ENST00000355472.10,ENSP00000347655.5,GRK6,5,576
P60983,ENSG00000197045.13,ENST00000616146.4,ENSP00000479543.1,GMFB,14,142
Q9NY64,ENSG00000136856.18,ENST00000373371.8,ENSP00000362469.3,SLC2A8,9,477
P49840,ENSG00000105723.12,ENST00000453535.1,ENSP00000412663.1,GSK3A,19,483
Q5TC63,ENSG00000139835.14,ENST00000375431.9,ENSP00000364580.3,GRTP1,13,336
Q75WM6,ENSG00000187166.1,ENST00000335017.1,ENSP00000334805.1,H1-7,12,255
O43824,ENSG00000178605.13,ENST00000326153.9,ENSP00000316598.5,GTPBP6,X,516
P78417,ENSG00000148834.13,ENST00000369713.10,ENSP00000358727.5,GSTO1,10,241
P02042,ENSG00000223609.11,ENST00000643122.1,ENSP00000494708.1,HBD,11,147
P51610,ENSG00000172534.14,ENST00000310441.12,ENSP00000309555.7,HCFC1,X,2035
Q14527,ENSG00000071794.16,ENST00000494055.5,ENSP00000420429.1,HLTF,3,1009
P31275,ENSG00000123407.4,ENST00000243103.4,ENSP00000243103.3,HOXC12,12,282
Q9Y6M1,ENSG00000073792.15,ENST00000382199.6,ENSP00000371634.2,IGF2BP2,3,599
Q5VWK5,ENSG00000162594.16,ENST00000347310.10,ENSP00000321345.5,IL23R,1,629
Q9GZV4,ENSG00000163577.8,ENST00000295822.7,ENSP00000295822.2,EIF5A2,3,153
O00221,ENSG00000146232.17,ENST00000275015.9,ENSP00000275015.3,NFKBIE,6,500
P01591,ENSG00000132465.11,ENST00000510437.5,ENSP00000426687.1,JCHAIN,4,159
O75874,ENSG00000138413.13,ENST00000415913.5,ENSP00000390265.1,IDH1,2,414
Q01628,ENSG00000142089.16,ENST00000399808.5,ENSP00000382707.4,IFITM3,11,133
A6NMD0,ENSG00000244242.2,ENST00000340134.5,ENSP00000344430.4,IFITM10,11,228
Q16552,ENSG00000112115.7,ENST00000648244.1,ENSP00000497968.1,IL17A,6,155
Q01101,ENSG00000173404.5,ENST00000310227.3,ENSP00000312631.1,INSM1,20,510
Q9UBH0,ENSG00000136695.15,ENST00000393200.7,ENSP00000376896.2,IL36RN,2,155
O75409,ENSG00000187516.7,ENST00000341016.5,ENSP00000339511.3,H2AP,X,117
Q9Y616,ENSG00000090376.11,ENST00000261233.9,ENSP00000261233.4,IRAK3,12,596
Q9Y6F6,ENSG00000072952.18,ENST00000531107.5,ENSP00000432436.1,MRVI1,11,904
P27987,ENSG00000143772.9,ENST00000429204.5,ENSP00000411152.1,ITPKB,1,946
Q86VS3,ENSG00000103599.20,ENST00000335894.9,ENSP00000336861.4,IQCH,15,1027
Q86VI3,ENSG00000183856.11,ENST00000361170.7,ENSP00000354451.2,IQGAP3,1,1631
Q96N16,ENSG00000152969.20,ENST00000409831.5,ENSP00000386925.1,JAKMIP1,4,626
P54819,ENSG00000004455.17,ENST00000672715.1,ENSP00000499935.1,AK2,1,239
P31937,ENSG00000106049.9,ENST00000265395.7,ENSP00000265395.2,HIBADH,7,336
Q3MIX3,ENSG00000285451.2,ENST00000645968.2,ENSP00000494807.1,ADCK5,CHR_HG2419_PATCH,580
Q5I7T1,ENSG00000175548.9,ENST00000308742.9,ENSP00000310120.4,ALG10B,12,473
Q14246,ENSG00000174837.15,ENST00000312053.9,ENSP00000311545.3,ADGRE1,19,886
A6NKF2,ENSG00000205143.3,ENST00000378909.3,ENSP00000368189.2,ARID3C,9,412
P50583,ENSG00000164978.18,ENST00000618590.1,ENSP00000482384.1,NUDT2,9,147
O95626,ENSG00000139223.3,ENST00000266594.3,ENSP00000266594.1,ANP32D,12,131
P05089,ENSG00000118520.15,ENST00000368087.8,ENSP00000357066.3,ARG1,6,322
P98196,ENSG00000068650.18,ENST00000375645.7,ENSP00000364796.3,ATP11A,13,1134
P28039,ENSG00000136250.12,ENST00000617537.5,ENSP00000483783.1,AOAH,7,575
P02654,ENSG00000130208.9,ENST00000588802.5,ENSP00000468029.1,APOC1,19,83
Q86TH1,ENSG00000197859.10,ENST00000393060.1,ENSP00000376780.1,ADAMTSL2,9,951
P03950,ENSG00000214274.9,ENST00000397990.4,ENSP00000381077.4,ANG,14,147
Q8N6S4,ENSG00000118454.13,ENST00000370944.9,ENSP00000359982.4,ANKRD13C,1,541
Q9BVC5,ENSG00000135974.10,ENST00000258457.7,ENSP00000258457.2,C2orf49,2,232
Q9HD20,ENSG00000105726.17,ENST00000357324.11,ENSP00000349877.6,ATP13A1,19,1204
Q9NT62,ENSG00000144848.11,ENST00000283290.10,ENSP00000283290.5,ATG3,3,314
P82987,ENSG00000156218.13,ENST00000286744.10,ENSP00000286744.5,ADAMTSL3,15,1691
Q6UXG2,ENSG00000116299.17,ENST00000369939.8,ENSP00000358955.3,KIAA1324,1,1013
P32519,ENSG00000120690.16,ENST00000239882.7,ENSP00000239882.3,ELF1,13,619
Q9H4M9,ENSG00000110047.18,ENST00000359393.6,ENSP00000352354.2,EHD1,11,534
Q92731,ENSG00000140009.18,ENST00000341099.5,ENSP00000343925.4,ESR2,14,530
A6NFZ4,ENSG00000203795.3,ENST00000368894.2,ENSP00000357889.1,FAM24A,10,105
Q01469,ENSG00000164687.11,ENST00000297258.11,ENSP00000297258.6,FABP5,8,135
Q8N9W8,ENSG00000172717.16,ENST00000612183.4,ENSP00000483154.1,FAM71D,14,422
Q969Z0,ENSG00000136270.14,ENST00000494076.5,ENSP00000420597.1,TBRG4,7,631
P0DP91,ENSG00000225830.13,ENST00000515869.1,ENSP00000423550.1,ERCC6,10,1061
A1KXE4,ENSG00000152102.18,ENST00000389915.4,ENSP00000374565.3,FAM168B,2,195
